Month,LME_Copper_Stocks_tonnes
2010-01-01,523468
2010-02-01,547176
2010-03-01,530611
2010-04-01,508243
2010-05-01,484700
2010-06-01,462506
2010-07-01,427791
2010-08-01,406581
2010-09-01,387136
2010-10-01,370995
2010-11-01,361831
2010-12-01,359365
2011-01-01,383035
2011-02-01,403125
2011-03-01,430137
2011-04-01,449500
2011-05-01,467594
2011-06-01,473015
2011-07-01,465355
2011-08-01,464335
2011-09-01,466508
2011-10-01,453179
2011-11-01,404738
2011-12-01,380236
2012-01-01,353063
2012-02-01,311854
2012-03-01,268577
2012-04-01,260216
2012-05-01,225168
2012-06-01,245505
2012-07-01,252345
2012-08-01,238558
2012-09-01,217505
2012-10-01,223292
2012-11-01,249084
2012-12-01,283825
2013-01-01,339715
2013-02-01,407154
2013-03-01,524481
2013-04-01,601363
2013-05-01,616596
2013-06-01,634166
2013-07-01,640326
2013-08-01,587046
2013-09-01,574190
2013-10-01,502657
2013-11-01,451933
2013-12-01,392634
2014-01-01,336848
2014-02-01,295554
2014-03-01,265544
2014-04-01,246916
2014-05-01,193982
2014-06-01,162694
2014-07-01,155901
2014-08-01,144454
2014-09-01,154234
2014-10-01,155435
2014-11-01,161246
2014-12-01,168604
2015-01-01,208265
2015-02-01,287036
2015-03-01,330349
2015-04-01,335831
2015-05-01,335191
2015-06-01,315145
2015-07-01,335511
2015-08-01,354830
2015-09-01,339720
2015-10-01,293816
2015-11-01,256868
2015-12-01,234832
2016-01-01,237029
2016-02-01,217494
2016-03-01,168779
2016-04-01,146874
2016-05-01,157081
2016-06-01,191155
2016-07-01,219146
2016-08-01,225034
2016-09-01,348949
2016-10-01,347471
2016-11-01,267011
2016-12-01,285213
2017-01-01,281643
2017-02-01,236580
2017-03-01,297658
2017-04-01,265794
2017-05-01,325394
2017-06-01,272139
2017-07-01,306830
2017-08-01,271516
2017-09-01,266687
2017-10-01,286882
2017-11-01,242043
2017-12-01,195645
2018-01-01,232620
2018-02-01,324908
2018-03-01,330913
2018-04-01,358606
2018-05-01,299879
2018-06-01,302627
2018-07-01,263864
2018-08-01,257964
2018-09-01,229043
2018-10-01,165573
2018-11-01,155814
2018-12-01,126275
2019-01-01,138818
2019-02-01,142336
2019-03-01,149630
2019-04-01,193469
2019-05-01,204038
2019-06-01,232438
2019-07-01,287667
2019-08-01,304842
2019-09-01,298183
2019-10-01,272061
2019-11-01,227171
2019-12-01,172906
2020-01-01,154578
2020-02-01,176033
2020-03-01,211261
2020-04-01,250223
2020-05-01,259333
2020-06-01,237270
2020-07-01,165579
2020-08-01,109053
2020-09-01,86289
2020-10-01,169103
2020-11-01,162881
2020-12-01,134469
2021-01-01,94604
2021-02-01,75339
2021-03-01,102630
2021-04-01,157300
2021-05-01,123245
2021-06-01,154206
2021-07-01,221994
2021-08-01,242971
2021-09-01,235509
2021-10-01,181564
2021-11-01,100600
2021-12-01,84544
2022-01-01,90478
2022-02-01,76775
2022-03-01,77259
2022-04-01,118741
2022-05-01,168371
2022-06-01,121468
2022-07-01,132827
2022-08-01,126592
2022-09-01,114064
2022-10-01,137107
2022-11-01,89600
2022-12-01,84804
2023-01-01,81888
2023-02-01,65944
2023-03-01,71398
2023-04-01,58283
2023-05-01,83939
2023-06-01,87876
2023-07-01,61300
2023-08-01,88376
2023-09-01,143368
2023-10-01,179488
2023-11-01,178472
2023-12-01,174247
2024-01-01,157193
2024-02-01,131904
2024-03-01,112513
2024-04-01,119761
2024-05-01,109394
2024-06-01,144969
2024-07-01,214539
2024-08-01,298340
2024-09-01,309726
2024-10-01,287728
2024-11-01,271785
2024-12-01,270928
2025-01-01,261651
2025-02-01,256653
2025-03-01,235107
2025-04-01,209021
2025-05-01,178225
2025-06-01,113399
2025-07-01,114715
2025-08-01,154438
2025-09-01,151270
2025-10-01,137894
2025-11-01,144266
2025-12-01,161171
2026-01-01,153964
2026-02-01,211006
2026-03-01,299096
