Month,OECD_Industrial_Production_Growth_MoM_pct
2010-01-01,1.18154739241194
2010-02-01,0.243536023999358
2010-03-01,1.11447794394628
2010-04-01,0.511261338916658
2010-05-01,1.25032443715984
2010-06-01,0.037231478311428
2010-07-01,0.111997634170624
2010-08-01,0.493068741479652
2010-09-01,0.160444223281653
2010-10-01,0.156253968040154
2010-11-01,0.486644394013958
2010-12-01,0.693334851502181
2011-01-01,0.38152611097253
2011-02-01,-0.181208396136423
2011-03-01,-1.58423774887256
2011-04-01,-0.104515936465488
2011-05-01,0.987878408693765
2011-06-01,0.339617166870876
2011-07-01,0.656992834893311
2011-08-01,0.55896854741404
2011-09-01,-0.291395896732227
2011-10-01,0.542107871092079
2011-11-01,-0.197659776540082
2011-12-01,0.327557632768061
2012-01-01,0.102273673270381
2012-02-01,0.229320015129697
2012-03-01,-0.320588860301618
2012-04-01,0.214576385202148
2012-05-01,0.161362283364785
2012-06-01,-0.523862033161049
2012-07-01,0.125157492433225
2012-08-01,-0.273778834793259
2012-09-01,-0.735019112498969
2012-10-01,-0.008026915436976
2012-11-01,-0.124475719519601
2012-12-01,0.394113735732349
2013-01-01,-0.193393512957418
2013-02-01,0.461321403937198
2013-03-01,0.431382066344077
2013-04-01,0.0171876370053781
2013-05-01,0.339373933832166
2013-06-01,0.145259327047453
2013-07-01,-0.0610960456776777
2013-08-01,0.340770624865039
2013-09-01,0.460665439649977
2013-10-01,0.0926514399171907
2013-11-01,0.449101843029154
2013-12-01,0.0081216355198421
2014-01-01,0.22223165091837
2014-02-01,0.434040965174964
2014-03-01,0.358042322454355
2014-04-01,0.0276962716772244
2014-05-01,-0.183811808343315
2014-06-01,0.290195319870801
2014-07-01,0.242350456845908
2014-08-01,-1.13498718144892
2014-09-01,0.90323063597062
2014-10-01,0.0702487159888188
2014-11-01,0.128847748673366
2014-12-01,0.510755988954137
2015-01-01,-0.336307953779091
2015-02-01,0.0571767126377187
2015-03-01,0.0509012414817933
2015-04-01,-0.189355304599648
2015-05-01,-0.123451360098714
2015-06-01,0.338681248345463
2015-07-01,0.382581822305772
2015-08-01,-0.359118602206554
2015-09-01,0.533913451846857
2015-10-01,-0.324825105084148
2015-11-01,-0.504496554297529
2015-12-01,-0.447617879052031
2016-01-01,0.96947869279127
2016-02-01,-0.299684369041475
2016-03-01,-0.474986449320902
2016-04-01,0.512059691509759
2016-05-01,-0.644810877774404
2016-06-01,0.337873508139563
2016-07-01,-0.008415704464515
2016-08-01,0.374245486614355
2016-09-01,-0.0559901401169904
2016-10-01,0.231476089232419
2016-11-01,0.674121062597566
2016-12-01,0.0519709580434125
2017-01-01,0.0345987880497667
2017-02-01,-0.0110670464924079
2017-03-01,0.50009269811071
2017-04-01,0.654420417629464
2017-05-01,0.163198119011332
2017-06-01,0.140193633126162
2017-07-01,0.0499591714341996
2017-08-01,0.553092501655694
2017-09-01,-0.224334308128116
2017-10-01,0.517375871652326
2017-11-01,0.893284957738816
2017-12-01,0.444609781754091
2018-01-01,-0.87379824535021
2018-02-01,0.203008723378106
2018-03-01,0.459548580922631
2018-04-01,0.052767899310413
2018-05-01,0.140115081916758
2018-06-01,0.263460204688259
2018-07-01,-0.23484087449871
2018-08-01,0.554376422259106
2018-09-01,-0.608601524063279
2018-10-01,0.564709364013138
2018-11-01,-0.701204283004586
2018-12-01,-0.114887270941988
2019-01-01,-0.0621483948285539
2019-02-01,-0.301627115404191
2019-03-01,0.125640035522689
2019-04-01,0.0397935343234179
2019-05-01,0.351437681549682
2019-06-01,-0.692757902602292
2019-07-01,0.0845816178820513
2019-08-01,-0.172081772612298
2019-09-01,0.365732407715025
2019-10-01,-0.794882632729477
2019-11-01,-0.0605352164923634
2019-12-01,-0.346122948841643
2020-01-01,0.436220746955751
2020-02-01,-0.133544475060299
2020-03-01,-5.83852385716485
2020-04-01,-14.920095693601
2020-05-01,3.85413167442969
2020-06-01,8.0743705588344
2020-07-01,4.38660143310101
2020-08-01,1.81589086674483
2020-09-01,1.04190209754906
2020-10-01,1.47138482107081
2020-11-01,0.559808620746449
2020-12-01,0.351459792673436
2021-01-01,0.908852337543453
2021-02-01,-1.4447365958963
2021-03-01,1.60777826308243
2021-04-01,0.320192512074491
2021-05-01,-0.533117458693855
2021-06-01,0.840191076812724
2021-07-01,0.261594321040248
2021-08-01,-0.712542502895208
2021-09-01,-1.10800731363606
2021-10-01,1.42385026616865
2021-11-01,1.33312055623214
2021-12-01,0.28189924140456
2022-01-01,-0.329276284970514
2022-02-01,0.626870002917235
2022-03-01,-0.293526628048724
2022-04-01,0.255565949968806
2022-05-01,-0.386985116247474
2022-06-01,0.45814183889632
2022-07-01,-0.303445792692991
2022-08-01,0.351563512110586
2022-09-01,0.0294132497697053
2022-10-01,-0.643997204300373
2022-11-01,0.0471306076733624
2022-12-01,-0.592938216987782
2023-01-01,-0.0991750033116912
2023-02-01,0.458495985594909
2023-03-01,0.212042877854457
2023-04-01,-0.227086711810676
2023-05-01,0.0843558069711925
2023-06-01,-0.0400936410114738
2023-07-01,-0.37595033583433
2023-08-01,0.206299920052011
2023-09-01,-0.0079917696132136
2023-10-01,-0.021412757459971
2023-11-01,-0.0020619556956202
2023-12-01,0.114013146686354
2024-01-01,-1.55283081645085
2024-02-01,0.657598657448988
2024-03-01,0.0458125091222339
2024-04-01,-0.0053297860829748
2024-05-01,0.0655881481918863
2024-06-01,0.063113279281235
2024-07-01,-0.32801565278272
2024-08-01,0.227344646190719
2024-09-01,-0.427509036871809
2024-10-01,0.255551286408151
2024-11-01,-0.434162273757888
2024-12-01,0.586117231036365
2025-01-01,-0.412161761494756
2025-02-01,0.957059971859398
2025-03-01,0.592779144279154
2025-04-01,-0.58199934549642
2025-05-01,-0.187164423065467
2025-06-01,0.522832098193704
2025-07-01,0.158464944894776
2025-08-01,-0.57290319789054
2025-09-01,0.733760754442869
2025-10-01,-0.139685137436274
2025-11-01,0.0395470103934148
2025-12-01,0.0172770166816383
